* RegName                                    	Page	Addr	Defval	Value
*--------------------------------------------------------------------------------
FrontEndControl                              	0x00	0x00	0x7F	0x00
TriggerLatency                               	0x00	0x01	0xC8	0xC8
HitDetectSLVS                                	0x00	0x02	0xA8	0xE7
Ipre1                                        	0x00	0x03	0x46	0xF0
Ipre2                                        	0x00	0x04	0x2E	0x14
Ipsf                                         	0x00	0x05	0x7A	0x2D
Ipa                                          	0x00	0x06	0x6A	0x1E
Ipaos                                        	0x00	0x07	0x4B	0x2D
Vpafb                                        	0x00	0x08	0x60	0x00
Icomp                                        	0x00	0x09	0xC4	0x1E
Vpc                                          	0x00	0x0A	0x3F	0x4B
Vplus                                        	0x00	0x0B	0x80	0x5B
VCth                                         	0x00	0x0C	0x7F	0x6A
TestPulsePot                                 	0x00	0x0D	0x00	0x31
SelTestPulseDel&ChanGroup                    	0x00	0x0E	0x00	0xC7
MiscTestPulseCtrl&AnalogMux                  	0x00	0x0F	0x20	0xA0
TestPulseChargePumpCurrent                   	0x00	0x10	0x64	0x64
TestPulseChargeMirrCascodeVolt               	0x00	0x11	0x3F	0x41
CwdWindow&Coincid                            	0x00	0x18	0x00	0xC0
MiscStubLogic                                	0x00	0x19	0x30	0x7E
MaskChannelFrom008downto001                  	0x00	0x20	0x00	0xFF
MaskChannelFrom016downto009                  	0x00	0x21	0x00	0xFF
MaskChannelFrom024downto017                  	0x00	0x22	0x00	0xFF
MaskChannelFrom032downto025                  	0x00	0x23	0x00	0xFF
MaskChannelFrom040downto033                  	0x00	0x24	0x00	0xFF
MaskChannelFrom048downto041                  	0x00	0x25	0x00	0xFF
MaskChannelFrom056downto049                  	0x00	0x26	0x00	0xFF
MaskChannelFrom064downto057                  	0x00	0x27	0x00	0xFF
MaskChannelFrom072downto065                  	0x00	0x28	0x00	0xFF
MaskChannelFrom080downto073                  	0x00	0x29	0x00	0xFF
MaskChannelFrom088downto081                  	0x00	0x2A	0x00	0xFF
MaskChannelFrom096downto089                  	0x00	0x2B	0x00	0xFF
MaskChannelFrom104downto097                  	0x00	0x2C	0x00	0xFF
MaskChannelFrom112downto105                  	0x00	0x2D	0x00	0xFF
MaskChannelFrom120downto113                  	0x00	0x2E	0x00	0xFF
MaskChannelFrom128downto121                  	0x00	0x2F	0x00	0xFF
MaskChannelFrom136downto129                  	0x00	0x30	0x00	0xFF
MaskChannelFrom144downto137                  	0x00	0x31	0x00	0xFF
MaskChannelFrom152downto145                  	0x00	0x32	0x00	0xFF
MaskChannelFrom160downto153                  	0x00	0x33	0x00	0xFF
MaskChannelFrom168downto161                  	0x00	0x34	0x00	0xFF
MaskChannelFrom176downto169                  	0x00	0x35	0x00	0xFF
MaskChannelFrom184downto177                  	0x00	0x36	0x00	0xFF
